"Enh","Beluga.MaxDisScore"
"Enh728",3.39577394583518
"Enh729",1.35788186629552
"Enh73",1.8902190319527
"Enh730",0.779491812843785
"Enh731",2.60101893316857
"Enh732",2.32854944569496
"Enh733",1.67520328235771
"Enh734",2.08359869634347
"Enh735",1.48759579807159
"Enh736",1.79430854639345
"Enh737",2.11086644397721
"Enh738",1.6489577942412
"Enh739",1.78704041093667
"Enh74",1.8367789732546
"Enh740",2.35349824987038
"Enh741",2.4861168142559
"Enh742",2.19722627463963
"Enh743",1.28630789695504
"Enh744",2.31363189643755
"Enh745",1.54544476618364
"Enh746",2.33989377818176
"Enh747",1.34862505607726
"Enh748",2.32129956491069
